en,ja
"But he was like, ""No. I've got one last thing to sort out.""",でも奴は 「やり残したことが」って
I'm not lending you a ruddy farthing until you pay back the last lot.,金を返すまでは貸さんぞ
No-- Get off me!,離して！
A meter is 100 centimeters.,一メートルは百センチメートルです。
Must be a reason he's keeping that secret.,何かの秘密のアポだろう.
I got a couple of teenagers back home I'd like you to spend some time with.,2〜3人若者が帰ったわ 一緒に行ってもいいわよ
You ready?,いいかい？
Put your hands on the car.,車に手を付いて
"Um, what happened?",何があったの？
"Walter, you gotta tip these guys.",ウォルター みなさんにチップをわたして
Why are these units here?,「何故 機械雲がここに」
What's--?,なに？
My human life ended before I had a chance to come back home.,帰還する前に ヴァンパイアになった
Dad... what are you doing here?,パパ　ここで何を？
Are you fucking kidding me?,あんたは俺をからかってるのか？
It's getting hard to ignore that they seem to be pointing us towards government corruption.,政府の腐敗に − 入り込むのを 無視できなくなってきた
Those movies weren't old to Gloria.,彼女にとっては古くない
What's gonna happen to him? He's not exactly a ruthless killer.,彼は冷酷な人殺しじゃない
Here's a question for you.,ひとつ質問がある
You're my friend. You're my mission. You're my mission!,私の友達だから。 お前は俺の任務にすぎん！ ただの任務だ！
You must be Lola.,ローラね？
And Grigory? Their Grigory?,クリスマスの後に 帰ってきたよ
You give the officer some bullshit about doing a Romeo act.,. 巡査に求愛中だと作り話を
You're still doing that?,まだ続けてるのか？
Jeez!,まったく
"- Oh, my God.",-　エマ
Copy PC to Handheld,PC からハンドヘルドへのコピー
We need to take care of Duke.,デュークの手当てをしないと
Would you like a boyfriend?,ボーイフレンドは欲しいですか？
Save,保存@action:button
It was definitely you.,間違いなく君だった
Please. Please!,- やめてくれ 頼む
Do you understand that?,わかりますか？
Brother Sam?,ブラザーサム？
How to be a detective.,"""探偵学入門"""
"Yes, he does.",ああ 知ってる
They call him The Scythe.,"彼は""デスサイズ""と呼ばれている"
Bedroom. Ah!,寝室に
Be sure to look us up when you're in town.,こちらに見えたらぜひ訪ねて来てください。
We need a cave.,洞窟が必要だ
You people said you got them all.,始末したと言ったよな。
I did actually already have it sprayed but there's this hole in the wall behind the fridge and that's why I...,ちゃんとまいたのにー 壁に穴があってー だから私・・・
We don't need to talk anymore.,これ以上、話すことはない
There are liars here.,ウソを言ってるんだわ
She has a lover--someone she met around christmas at a fair.,彼女には恋人がいた クリスマスのお祭りで 出会った男だ
"Better get started, then.",始めよう　間もなく
"Okay, Benjamin.",分かりました　ベンジャミン
"Please, please.",お願いだ
- Not here.,ここでの話じゃないわ。
We're having a hard time tracking Perez down.,ペレスの居場所を突き止めるのに 手間取ってるの
That knowed just as much as any nigger I got.,俺が所有する ニガーの誰よりも
Our banner caught in a sea of death,我らが王旗は死の海に消え-
Put it downstairs. Here.,「下に置いてきてくれ。
You're bustling about bloody early.,せかせか歩くんだな
Leaving already?,- もう行くのかい？
Isn't that enough?,それだけでも 十分だと思います
"If we use more efficient electricity appliances, we can save this much off of the global warming pollution that would otherwise be put into the atmosphere.",もし、より効率の良い 電化製品 私たちは地球温暖化の汚染源をこれだけ 除外できます
"Oh, no. It no longer applies.",駄目だ そんな気分じゃない
Maybe some single men are here. No.,— 独身男が見つかるかもよ — まさか
Finish your breakfast.,朝食を終えよう
A corner drug dealer in Bushwick got beaten and robbed about a half hour ago.,３０分ほど前に ブッシュウィックで街の麻薬の売人が 襲われて　強盗にあった
(GAGGING),（むせる）
